row_id,price_single,price_min,price_max,log_price_single,log_price_min,log_price_max,durasi_hari,log_durasi,rating_imputed,has_rating,skill_count,has_premium_skill,price_range_width,has_price_range,title_length,title_word_count,desc_length,has_description,has_urgency,is_service_based,kategori_Grafis & Desain,kategori_Pemasaran & Periklanan,kategori_Penulisan & Penerjemahan,kategori_Visual & Audio,kategori_Web dan Pemrograman,platform_fastwork,platform_projects,platform_sribu,skill_seo,skill_logo_design,skill_video_editing,skill_tiktok_ads,skill_translation,skill_ui_ux_design,skill_content_writing,skill_animation,skill_instagram,skill_wordpress,skill_machine_learning,skill_data_analysis,skill_figma,skill_branding,skill_excel,skill_flutter,skill_google_ads,skill_python,skill_canva,skill_copywriting,skill_react,skill_laravel,skill_kotlin,skill_data_science,skill_html_css,skill_deep_learning,skill_meta_ads,skill_react_native,skill_php,skill_java,skill_javascript,skill_nextjs,skill_facebook_ads,skill_after_effects,skill_3d_modeling,skill_video_production,skill_tableau,skill_power_bi,skill_running,skill_adobe_xd,skill_mobile_programming,skill_swift,skill_website_building,skill_laravel_framework,skill_website
24,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,2.0,1.0986122886681098,5.0,0,2,0,0.0,0,59,8,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1500000.0,1500000.0,1500000.0,14.220976332738882,14.220976332738882,14.220976332738882,5.0,1.791759469228055,4.9,1,0,0,0.0,0,95,12,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2200000.0,2200000.0,2200000.0,14.603968372873895,14.603968372873895,14.603968372873895,14.0,2.70805020110221,5.0,1,0,0,0.0,0,96,14,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,7.0,2.0794415416798357,5.0,0,1,0,0.0,0,92,15,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1450000.0,1450000.0,1450000.0,14.187074804051692,14.187074804051692,14.187074804051692,2.0,1.0986122886681098,5.0,1,0,0,0.0,0,56,9,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1000000.0,1000000.0,1000000.0,13.815511557963774,13.815511557963774,13.815511557963774,3.0,1.3862943611198906,4.9,1,1,0,0.0,0,91,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,7.0,2.0794415416798357,4.7,1,0,0,0.0,0,68,9,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2500000.0,2500000.0,2500000.0,14.731801689838349,14.731801689838349,14.731801689838349,10.0,2.3978952727983707,4.9,1,1,0,0.0,0,63,8,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,1.0,0.6931471805599453,5.0,1,1,0,0.0,0,32,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,1,0,0,0.0,0,76,13,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,500000.0,500000.0,500000.0,13.122365377402328,13.122365377402328,13.122365377402328,3.0,1.3862943611198906,4.9,1,0,0,0.0,0,77,14,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,4.7,1,1,0,0.0,0,75,9,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,5.0,1.791759469228055,5.0,1,0,0,0.0,0,91,18,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,500000.0,500000.0,500000.0,13.122365377402328,13.122365377402328,13.122365377402328,3.0,1.3862943611198906,4.9,1,0,0,0.0,0,22,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1500000.0,1500000.0,1500000.0,14.220976332738882,14.220976332738882,14.220976332738882,7.0,2.0794415416798357,5.0,1,1,0,0.0,0,51,7,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,5.0,1.791759469228055,5.0,1,0,0,0.0,0,39,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1400000.0,1400000.0,1400000.0,14.151983508870947,14.151983508870947,14.151983508870947,3.0,1.3862943611198906,5.0,1,0,0,0.0,0,68,9,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
